Year,Month,Day,Country,State,City,Latitude,Longitude,Specificity,Success,Attack,Target,Terrorist,Weapon,Killed,Wound,Property,Property Value,Ransom,Ransom Demand
1982,8,26,India,Maharashtra,Bombay,19.075984,72.877656,1,0,Assassination,Government (Diplomatic),Unknown,Firearms,0,0,0,,0,
1982,10,0,India,Punjab,Amritsar,31.633078,74.878288,1,0,Unknown,Government (General),Akali Dal Party,Unknown,5,0,0,,0,
1982,10,25,India,Manipur,Tipaimukh,24.2355,93.025391,1,1,Armed Assault,Police,Mizo National Front,Firearms,6,0,1,,0,
1982,10,26,India,Punjab,Amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,1,35,1,,0,
1982,11,18,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Government (Diplomatic),Unknown,Explosives,0,0,1,,0,
1982,12,10,India,Maharashtra,Bombay,19.075984,72.877656,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,9,1,,0,
1983,1,31,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,,,1,,0,
1983,2,3,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Airports & Aircraft,Iranians,Explosives,0,0,1,,0,
1983,2,3,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Airports & Aircraft,Iranians,Explosives,0,1,1,,0,
1983,2,11,India,Delhi,New Delhi,28.585836,77.153336,1,1,Unknown,Government (Diplomatic),Unknown,Unknown,0,0,1,,0,
1983,2,15,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,13,1,,0,
1983,2,15,India,Assam,Guwahati,26.149794,91.763931,1,1,Assassination,Government (General),Unknown,Unknown,1,0,0,,0,
1983,3,8,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Private Citizens & Property,All India Sikh Students Federation (AISSF),Explosives,0,7,1,,0,
1983,3,8,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Transportation,All India Sikh Students Federation (AISSF),Explosives,0,1,1,,0,
1983,3,15,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,6,1,,0,
1983,3,15,India,Assam,Gauhati,26.149794,91.763931,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,0,0,,0,
1983,3,21,India,Punjab,Harchowal,31.780193,75.451952,1,0,Assassination,Religious Figures/Institutions,Unknown,Unknown,0,1,0,,0,
1983,3,21,India,Punjab,Mothan Wala,30.663937,74.401789,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,1,1,0,,0,
1983,3,21,India,Punjab,Qadian,31.818914,75.376351,1,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,0,6,1,,0,
1983,3,30,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,2,1,,0,
1983,3,30,India,Chhattisgarh,Baloda Bazar,21.656917,82.159196,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,10,0,1,,0,
1983,3,30,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,0,1,,0,
1983,4,7,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,2,1,1,,0,
1983,4,8,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,,,1,,0,
1983,4,9,India,Uttar Pradesh,Kanpur,26.449923,80.331874,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,,,1,,0,
1983,4,9,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Maritime,Unknown,Explosives,,,1,,0,
1983,4,25,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Police,Sikh Extremists,Firearms,2,0,0,,0,
1983,6,26,India,Punjab,Sultanpur Lodhi,31.214128,75.195393,1,1,Assassination,Religious Figures/Institutions,Sikh Extremists,Unknown,1,0,0,,0,
1983,6,27,India,Punjab,Jalandhar,31.326015,75.576183,1,1,Bombing/Explosion,Private Citizens & Property,Sikh Extremists,Explosives,2,1,1,,0,
1983,8,15,India,Punjab,Sri Muktsar Sahib,30.476639,74.511172,1,1,Assassination,Police,Unknown,Firearms,2,0,0,,0,
1983,9,21,India,Punjab,Jalandhar,31.326015,75.576183,1,1,Bombing/Explosion,Religious Figures/Institutions,Sikh Extremists,Explosives,,,1,,0,
1983,9,21,India,Punjab,Ludhiana,30.898024,75.860077,1,1,Assassination,Police,Sikh Extremists,Firearms,2,1,0,,0,
1983,9,21,India,Punjab,Amritsar,31.633078,74.878288,1,1,Unknown,Business,Sikh Extremists,Unknown,,,1,1004,0,
1983,9,21,India,Punjab,Amritsar,31.633078,74.878288,1,1,Unknown,Business,Sikh Extremists,Unknown,,,1,1004,0,
1983,9,23,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Extremists,Firearms,1,0,0,,0,
1983,9,26,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Police,Sikh Extremists,Firearms,3,0,0,,0,
1983,10,13,India,Delhi,Delhi,28.690073,77.213982,1,1,Bombing/Explosion,Business,Unknown,Explosives,4,24,1,,0,
1983,10,13,India,Delhi,Delhi,28.690073,77.213982,1,1,Bombing/Explosion,Business,Unknown,Explosives,4,24,1,,0,
1983,10,14,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,19,1,,0,
1983,10,14,India,Punjab,Tarn Taran,31.448943,74.925262,1,0,Assassination,Police,Unknown,Firearms,0,1,0,,0,
1983,10,15,India,Chandigarh,Chandigarh,30.733315,76.779418,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,3,24,1,,0,
1983,10,17,India,Chandigarh,Chandigarh,30.733315,76.779418,1,0,Bombing/Explosion,Police,Unknown,Explosives,0,0,0,,0,
1983,10,17,India,Chandigarh,Chandigarh,30.733315,76.779418,1,0,Bombing/Explosion,Police,Unknown,Explosives,0,0,0,,0,
1983,10,17,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,14,1,,0,
1983,10,17,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,1,1,0,,0,
1983,10,25,India,Delhi,New Delhi,28.585836,77.153336,1,0,Assassination,Government (Diplomatic),Unknown,Firearms,0,1,0,,0,
1983,11,7,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Anti-Immigrant extremists,Explosives,14,60,1,,0,
1983,11,7,India,Delhi,New Delhi,28.585836,77.153336,1,1,Unknown,Airports & Aircraft,Fedayeen Khalq (People's Commandos),Unknown,,,1,,0,
1983,11,15,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Police,Unknown,Explosives,1,6,1,,0,
1983,11,18,India,Punjab,Unknown,31.147131,75.341218,4,1,Hostage Taking (Kidnapping),Transportation,Unknown,Firearms,4,0,0,,0,
1983,11,19,India,Assam,Gauhati,26.149794,91.763931,1,0,Assassination,Government (General),Unknown,Firearms,0,1,0,,0,
1983,11,28,India,Punjab,Jalandhar,31.326015,75.576183,1,0,Assassination,Government (General),Unknown,Firearms,0,1,0,,0,
1983,12,20,India,Punjab,Unknown,31.147131,75.341218,4,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,1,0,0,,0,
1984,2,0,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Private Citizens & Property,Sikh Extremists,Explosives,0,0,1,,0,
1984,2,0,India,Punjab,Unknown,31.147131,75.341218,4,1,Assassination,Private Citizens & Property,Sikh Extremists,Unknown,2,0,0,,0,
1984,2,1,India,Tripura,Unknown,23.940848,91.988153,4,1,Armed Assault,Military,Tripura National Volunteers (TNV),Unknown,4,0,1,,0,
1984,2,7,India,Nagaland,Dimapur,25.906267,93.72759,1,1,Assassination,Government (General),Naga People,Firearms,1,0,0,,0,
1984,2,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Unknown,Police,Sikh Extremists,Unknown,1,0,1,,0,
1984,2,16,India,Punjab,Unknown,31.147131,75.341218,4,1,Assassination,Police,Unknown,Melee,1,0,0,,0,
1984,2,16,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Police,Unknown,Explosives,1,1,1,,0,
1984,2,20,India,Punjab,Bhatinda,30.210994,74.945474,1,1,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary,0,0,1,,0,
1984,2,20,India,Punjab,Bhatinda,30.210994,74.945474,1,1,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary,0,0,1,,0,
1984,2,20,India,Punjab,Bhatinda,30.210994,74.945474,1,1,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary,0,0,1,,0,
1984,2,21,India,Punjab,Amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Police,Sikh Extremists,Explosives,0,0,1,,0,
1984,2,21,India,Punjab,Hoshiapur,31.534899,75.910571,1,0,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,0,0,0,,0,
1984,2,26,India,Haryana,Pehowa,29.980676,76.584475,1,1,Armed Assault,Private Citizens & Property,Unknown,Firearms,3,1,1,,0,
1984,2,26,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,5,0,1,,0,
1984,2,29,India,Punjab,Amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,3,35,1,,0,
1984,3,15,India,Manipur,Imphal,24.798346,93.94043,1,1,Unknown,Military,People's Liberation Army (India),Unknown,14,40,1,,0,
1984,3,23,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,0,0,1,,0,
1984,3,23,India,Punjab,Ferozepur district,30.933135,74.622476,3,1,Assassination,Religious Figures/Institutions,Sikh Extremists,Firearms,1,0,0,,0,
1984,3,25,India,Punjab,Unknown,31.147131,75.341218,4,1,Assassination,Private Citizens & Property,Unknown,Unknown,1,0,0,,0,
1984,3,28,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Police,Unknown,Explosives,0,1,1,,0,
1984,3,28,India,Delhi,New Delhi,28.585836,77.153336,1,1,Assassination,Government (General),Sikh Extremists,Firearms,2,1,0,,0,
1984,3,28,India,Punjab,Unknown,31.147131,75.341218,4,0,Assassination,Business,Unknown,Firearms,0,1,0,,0,
1984,3,30,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,4,0,0,,0,
1984,3,30,India,Delhi,Delhi,28.690073,77.213982,1,1,Assassination,Private Citizens & Property,Unknown,Unknown,1,0,0,,0,
1984,3,30,India,Tripura,Baramura,23.807118,91.563953,1,0,Armed Assault,Utilities,Tripura Nationalists,Firearms,0,0,0,,0,
1984,4,1,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,2,20,1,,0,
1984,4,2,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Government (General),Dishmish Regiment,Unknown,3,0,0,,0,
1984,4,3,India,Chandigarh,Chandigarh,30.733315,76.779418,1,1,Assassination,Government (General),Dishmish Regiment,Firearms,1,0,0,,0,
1984,4,4,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Private Citizens & Property,Sikh Extremists,Explosives,0,5,1,,0,
1984,4,5,India,Rajasthan,Unknown,27.023803,74.217933,4,1,Unknown,Business,Sikh Extremists,Unknown,2,0,1,,0,
1984,4,7,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,3,1,,0,
1984,4,8,India,Punjab,Bhatinda,30.210994,74.945474,1,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,1,1,1,,0,
1984,4,8,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Religious Figures/Institutions,Sikh Extremists,Explosives,0,3,1,,0,
1984,4,8,India,Punjab,Bhatinda,30.210994,74.945474,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,0,0,,0,
1984,4,8,India,Punjab,Rupnagar,30.966064,76.523162,1,1,Facility/Infrastructure Attack,Educational Institution,Unknown,Incendiary,0,0,1,,0,
1984,4,11,India,Punjab,Rahon,31.052128,76.117499,1,1,Assassination,Business,Sikh Extremists,Firearms,2,0,0,,0,
1984,4,11,India,Punjab,Patiala,30.34,76.38,1,1,Assassination,Business,Unknown,Unknown,1,0,0,,0,
1984,4,11,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Business,Sikh Extremists,Unknown,1,0,0,,0,
1984,4,11,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,0,0,1,,0,
1984,4,11,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Transportation,Sikh Extremists,Incendiary,,,1,,0,
1984,4,11,India,Punjab,Amritsar,31.633078,74.878288,1,1,Armed Assault,Religious Figures/Institutions,Unknown,Firearms,2,5,1,,0,
1984,4,12,India,Haryana,Kalanaur,28.831237,76.39556,1,1,Assassination,Journalists & Media,Sikh Extremists,Firearms,1,0,0,,0,
1984,4,14,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Terrorists/Non-State Militia,Sikh Extremists,Firearms,1,0,0,,0,
1984,4,14,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Terrorists/Non-State Militia,Sikh Extremists,Firearms,1,0,0,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Bombing/Explosion,Transportation,Dishmish Regiment,Firearms,0,0,1,,0,
1984,4,15,India,Punjab,Unknown,31.147131,75.341218,4,1,Facility/Infrastructure Attack,Government (General),Dishmish Regiment,Incendiary,0,0,1,,0,
1984,4,16,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Terrorists/Non-State Militia,Sikh Extremists,Firearms,1,0,0,,0,
1984,4,16,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Violent Political Party,Sikh Extremists,Unknown,1,0,0,,0,
